seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Conservative,151354.48145723078,90.0,200.0,"[""dense_3"", ""dense_4""]",0.8577384333522694,18.877020679692894,48909.054866568345,80022.376613129,111093.17040798758,27559.561011102604,13421.854224918236,3252.296732842274,0.3877551020408163,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Balanced,151354.48145723078,90.0,12.0,"[""dense_3""]",0.9493185532522741,16.13078610465767,29192.41193929656,37703.52576579726,46993.6103154405,18859.345788529903,10913.913500360097,4409.174131687841,0.45918367346938777,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Aggressive,151354.48145723078,90.0,86.0,[],0.950521873887423,14.869813359188292,28843.77496203759,45482.902744210674,53805.41206420631,17982.585134029156,10352.320103893442,1998.20180989012,0.46938775510204084,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Conservative,186391.97568,198.0,200.0,"[""dense_3"", ""dense_4""]",0.8826002358766081,14.900037850596135,44430.28398376153,78241.66216824885,106093.03909347267,24277.67776969347,14156.554121684057,2618.4321775816184,0.35714285714285715,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Balanced,186391.97568,198.0,6.0,"[""dense_3""]",0.9280397733980552,16.044941618516166,34784.978405164824,55254.068162142015,57107.93047360616,23243.013570491785,13477.57630405794,13667.63193262058,0.32653061224489793,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Aggressive,186391.97568,198.0,24.0,[],0.8788281937178567,16.547319698152627,45138.41113197972,68993.76899342338,78788.89395698677,25255.298623202023,12984.814884267806,9354.62539688501,0.3979591836734694,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Conservative,235431.62442,62.0,184.0,"[""dense_3"", ""dense_4""]",0.8809477767777076,15.132565051965386,44741.88033611393,77068.37460286329,100340.35272354625,25363.854201861934,11304.960244831316,2450.3030557518914,0.4897959183673469,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Balanced,235431.62442,62.0,3.0,"[""dense_3""]",0.8865761749499914,14.724879088213497,43671.45097582029,72906.65955888966,95876.4917725282,24551.895298392483,11662.389085435534,-1130.8443693387817,0.5102040816326531,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Aggressive,235431.62442,62.0,17.0,[],0.648655123710852,16.765627218680567,76862.1076603813,137800.46772860552,187220.92534425488,32586.47049686663,10947.84739004379,-3824.5494754993665,0.5102040816326531,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Conservative,158536.77834976473,25.0,200.0,"[""dense_3"", ""dense_4""]",0.8537987439069419,25.85147556497936,40502.12244419597,75445.65524435302,85617.93325989252,25583.04793355966,19621.223899062516,2321.595227121042,0.3979591836734694,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Balanced,158536.77834976473,25.0,56.0,"[""dense_3""]",0.9278566208046745,23.685685108803238,28451.19228014553,40085.707118741986,45349.98543455674,19852.51313231635,15007.504818909183,2929.7517531089297,0.42857142857142855,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Aggressive,158536.77834976473,25.0,55.0,[],0.9364927391873437,23.923065145485122,26694.016275544986,39231.28124975364,42834.070718134404,20182.535044995235,16721.608936002318,3394.310921796229,0.4489795918367347,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3,Conservative,197218.59084000002,61.0,200.0,"[""dense_3"", ""dense_4""]",0.914499656279603,13.430386042527173,30973.205974953464,62521.53783010141,61893.99469206408,19065.82359100795,9366.66319706403,1832.8419926196939,0.42857142857142855,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3,Balanced,197218.59084000002,61.0,15.0,"[""dense_3""]",0.9432442155180566,12.66505928674222,25235.231651184764,44985.80059339099,48608.426281248445,16865.840012638062,8621.83413319123,1908.978495151569,0.40816326530612246,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3,Aggressive,197218.59084000002,61.0,1.0,[],0.5890149350624072,20.388692160867073,67907.11035123619,143209.53792512955,125217.85876623628,35961.04094359101,9366.66319706403,27196.14582059528,0.3469387755102041,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3+IQR/2,Conservative,251945.11008,159.0,200.0,"[""dense_3"", ""dense_4""]",0.9414159351740895,11.310056021336344,25638.46270823397,50027.24610534924,55979.043569902875,15805.389156351664,7501.22563176597,1755.7372246440066,0.4489795918367347,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3+IQR/2,Balanced,251945.11008,159.0,20.0,"[""dense_3""]",0.9472736376182572,10.743337109987408,24322.943747818113,46515.82317741848,53549.24364603599,14033.273601354242,6737.417725009487,1575.8907403163273,0.4489795918367347,19.0,14.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3+IQR/2,Aggressive,251945.11008,159.0,22.0,[],0.7712851769139929,14.171939472689704,50658.157098093216,111124.8128379479,116903.24552893883,24610.49333299909,7501.22563176597,8373.167055005164,0.4387755102040816,19.0,14.0,
