seed,split_id,feature_set,train_index_hash,test_index_hash,model_family,model,cutoff_rule,training_derived_cutoff_value,transfer_strategy,selected_hyperparameters,frozen_layers,learning_rate,training_epochs,run_status,elapsed_seconds,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,CatBoost,,,,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}",[],,{},complete,44.59346570000025,0.876679284829643,12.382835510007641,31806.328343442867,43311.13427625908,58704.23436747737,17170.221772109348,7835.820186473415,4985.195937964601,0.4603174603174603,40,20,,,,,,,,,
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,XGBoost,,,,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 600}",[],,{},complete,9.509407600000031,0.8477321047381285,13.89910034734148,35342.697450620886,54699.99691372691,74951.80687524407,19553.320428846724,9661.662786249988,5482.339711753463,0.40476190476190477,40,20,,,,,,,,,
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,Monotonic GBM,,,,"{""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 300}",[],,{},complete,2.01725419999957,0.7253546656183572,20.40258003416812,47465.89055050634,59541.10253004043,77654.15445110586,28192.8131086179,12145.785162220796,12770.908167045556,0.4365079365079365,40,20,,,,,,,,,
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,single,ANN,,,,"{""activation"": ""relu"", ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01}",[],0.01,"{""final_iterations"": 92}",complete,21.371542299999874,0.9483606800999309,9.314643956764055,20581.91487026241,30252.64629449349,40775.97504228989,13481.212071357633,7792.826336034763,1567.5799267240805,0.47619047619047616,40,20,,,,,,,,,
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_no_tl,"Two-stage, no transfer",Mean,148856.99495687414,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.001,"{""high"": 40, ""low"": 178}",complete,39.39644930000031,0.944149282128538,11.637254657501796,21404.73721768135,28005.130433480288,38003.985328546376,14486.291686049026,10887.99213630471,2608.241149288396,0.3412698412698413,40,20,0.9056603773584906,0.9411764705882353,0.9230769230769231,168.0,125.0,75.0,51.0,73.0,53.0
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148856.99495687414,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 200, ""low"": 178}",complete,27.786010299999816,0.8561399196635785,14.444380157579644,34353.07913849259,55679.964612403564,70544.88450932523,21699.370453410927,14076.209881125054,4925.004233206225,0.3333333333333333,40,20,0.9056603773584906,0.9411764705882353,0.9230769230769231,168.0,125.0,75.0,51.0,73.0,53.0
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148856.99495687414,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3""]",0.01,"{""high"": 7, ""low"": 178}",complete,4.251288099999783,0.9317260523062474,12.259567203468421,23665.900168089003,35830.878015468596,45551.465342026066,16620.350709794257,11039.620130310184,7377.421058210254,0.2777777777777778,40,20,0.9056603773584906,0.9411764705882353,0.9230769230769231,168.0,125.0,75.0,51.0,73.0,53.0
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148856.99495687414,Aggressive,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.05, ""trainable_hidden"": ""all""}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.05,"{""high"": 43, ""low"": 178}",complete,9.668413599999894,0.9489607699932913,11.23063393445783,20461.97631139587,29438.473624045542,37348.2610897399,14024.249635619175,10105.816036874894,-1786.083669417009,0.4365079365079365,40,20,0.9056603773584906,0.9411764705882353,0.9230769230769231,168.0,125.0,75.0,51.0,73.0,53.0
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_no_tl,"Two-stage, no transfer",Q3,174395.51352,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.001,"{""high"": 6, ""low"": 71}",complete,17.855664100000013,0.8116082085689503,15.324522416334855,39312.12395930807,64985.41238933834,69350.15600484864,23777.0535083218,10762.120067892909,7010.242183672708,0.38095238095238093,40,20,0.9705882352941176,0.825,0.8918918918918919,219.0,74.0,86.0,40.0,92.0,34.0
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,two_stage_tl_exploratory,"Two-stage, transfer",Q3,174395.51352,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 200, ""low"": 71}",complete,27.691456300000027,0.9136525942062774,12.124272881749842,26614.61374809085,42857.10549957775,51969.36683882519,16385.717398012544,9911.27522938215,3449.231873760914,0.373015873015873,40,20,0.9705882352941176,0.825,0.8918918918918919,219.0,74.0,86.0,40.0,92.0,34.0
